importance,time,link,title,summary
0,20190103,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDE5MDEwMyuk6bTBPD0yMDE5MDEwMyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2019-01-03&news_id=9219527,非洲豬瘟 達邦躋防疫概念股,"中國大陸籠罩在非洲豬瘟的黑色陰霾，仍不見疫情趨緩，加上疫情資訊的不透明，亞洲各國的恐慌不減反增，撼動整個與養豬相關的產業，從原料、飼料、銷售通路到進出口作業。達邦蛋白（6578）董事長劉郁芬表示，公司擁有 
	                    "
1,20200101,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEwMSuk6bTBPD0yMDIwMDEwMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-01&news_id=9494374,防疫族群 市場聚焦,"台股昨（31）日受制於美股收黑，以及季底結帳賣壓影響，指數連二日收黑，但中國武漢傳出多起病毒性肺炎個案，激勵短線買盤搶進國光生（4142）等防疫概念股，激勵股價強勢拉升，匯聚市場人氣。
美股獲利賣壓湧現，科 
	                    "
1,20200103,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEwMyuk6bTBPD0yMDIwMDEwMyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-03&news_id=9495855,防疫概念股 強勢演出,"大陸武漢本周發現多起不明肺炎病例，引發SARS（嚴重急性呼吸道症候群）再起疑慮，「防疫概念股」總動員，毛寶（1732）、恆大、康那香股價從過年前漲到過年後，後續值得關注。
武漢市衛生健康委員會12月31日公布，近 
	                    "
1,20200106,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEwNiuk6bTBPD0yMDIwMDEwNiuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-06&news_id=9498405,生技醫療股 資金避風港,"防疫概念股成為國際利空下的資金避風港，加上生技股被視為總統大選的押寶股，使得生技類股今（6）日表現相對抗跌，包括藥華藥（6446）、皇將（4744）、華廣（4737）盤中漲幅逾3%，全宇-KY（4148）、晟德（4123）、國 
	                    "
1,20200107,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEwNyuk6bTBPD0yMDIwMDEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-07&news_id=9498825,武漢爆發肺炎 防疫股衝鋒,"2020年首隻黑天鵝報到！台股昨（6）日大跌157點，創今年來最大跌幅，然盤面上「防疫概念股」挾武漢肺炎疫情擴大題材，吸引市場買盤大舉搶進，族群帶量上攻，躍升盤面焦點。
法人表示，台股受到中東緊張情勢升溫，昨 
	                    "
1,20200120,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEyMCuk6bTBPD0yMDIwMDEyMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-20&news_id=9509120,金豬封關 3概念股 蘋果 5G 防疫 突圍,"受到上周五（17日）美股收紅帶動，台股豬年封關一片樂觀，指數再次站回12,100關卡，盤面上三大題材股表現亮眼，包括外資調高蘋果目標價，帶動蘋概股發威；5G商轉地區增加，5G概念股強勢演出；武漢疫情增溫，防疫概念 
	                    "
1,20200120,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEyMCuk6bTBPD0yMDIwMDEyMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-20&news_id=9509148,武漢肺炎延燒 防疫股押寶熱,"武漢肺炎疫情快速擴散，最新病例出現在北京、深圳，隨著時序逼近春節，大陸春運即將開始，市場憂心疫情很可能擴及大陸全境，年後疫情恐再升溫，也讓防疫概念股成為封關日的資金押寶股，包括恆大（1325）、毛寶（1732 
	                    "
1,20200121,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEyMSuk6bTBPD0yMDIwMDEyMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-21&news_id=9509349,台指期 年後可望補漲,"隨美股四大指數上揚，亞股昨（20）日皆開高走紅，台股終場以小漲作收封關。期貨商指出，統計台股封關後至開紅盤日，國際股市的上漲機率為七成，投資人可待年後量能回歸後，透過台指期搶搭補漲的波段趨勢列車。
美中 
	                    "
1,20200121,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEyMSuk6bTBPD0yMDIwMDEyMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-21&news_id=9509418,優質高價股 法人緊抱,"台股昨（20）日金豬年封關，收盤站上5日線、12,100點關卡。由於年前行情相對壓抑，法人搶進可成（2474）、上銀等優質或具轉機題材高價股抱股過年，押寶旺鼠年紅盤行情。
美中貿易協議樂觀情緒、強勁新屋開工數據，支 
	                    "
1,20200121,https://udndata.com/ndapp/Story?no=3&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEyMSuk6bTBPD0yMDIwMDEyMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-21&news_id=9509673,防疫概念股走強,"大陸武漢肺炎疫情擴大，防疫意識快速升級，台灣毛寶、恆大、康那香等「防疫概念股」昨（20）日股價都攻上漲停板，成為金豬年封關走勢最強勁的族群。
防疫概念股昨天股價全面上演噴出行情，例如生產清潔消毒用品的毛 
	                    "
1,20200130,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEzMCuk6bTBPD0yMDIwMDEzMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-30&news_id=9513851,【防疫股】 南六、康那香亮燈,"防疫概念股新春一開盤全面亮燈，部份中低價股漲停委買張數皆有幾十萬張排隊搶購。法人表示，由於2月將為疫情是否在全球爆發重要觀察期，這場防疫大戰要打多久仍有許多變數，一旦戰線拉長，防疫股仍有不少上漲空間，吸 
	                    "
1,20200130,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEzMCuk6bTBPD0yMDIwMDEzMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-30&news_id=9513868,投資情報站,"指標股：防疫概念股美吾華（1731）股價跳空漲停鎖住，衝上近兩年高點，在疫情尚未緩解下，短線資金可望持續挹注。
關鍵數據：台幣短線快速貶值，升破30元整數關卡，持續關注台幣表現。
技術分析：加權指數帶量失守 
	                    "
